Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cura_TestSuite,Chrome 131.0.0.0,,,08-01-2025 17:16:14,08-01-2025 17:16:29,14.785s,PASSED
,,,,,,,
Test Cases/CURA/Login_TC_01,Chrome 131.0.0.0,,,08-01-2025 17:16:15,08-01-2025 17:16:20,5.594s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,08-01-2025 17:16:15,08-01-2025 17:16:16,1.384s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 131.0.0.0,,,08-01-2025 17:16:16,08-01-2025 17:16:16,0.317s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 131.0.0.0,,,08-01-2025 17:16:16,08-01-2025 17:16:17,0.601s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""))",Chrome 131.0.0.0,,,08-01-2025 17:16:17,08-01-2025 17:16:18,0.491s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 131.0.0.0,,,08-01-2025 17:16:18,08-01-2025 17:16:18,0.283s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 131.0.0.0,,,08-01-2025 17:16:18,08-01-2025 17:16:18,0.645s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 131.0.0.0,,,08-01-2025 17:16:18,08-01-2025 17:16:19,0.593s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control_1""))",Chrome 131.0.0.0,,,08-01-2025 17:16:19,08-01-2025 17:16:19,0.325s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 131.0.0.0,,,08-01-2025 17:16:19,08-01-2025 17:16:20,0.379s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 131.0.0.0,,,08-01-2025 17:16:20,08-01-2025 17:16:20,0.376s,PASSED
,,,,,,,
Test Cases/CURA/makeAppointment,Chrome 131.0.0.0,,,08-01-2025 17:16:20,08-01-2025 17:16:28,7.949s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,08-01-2025 17:16:20,08-01-2025 17:16:21,0.795s,PASSED
